Match type,Repository,Repository external URL
repo,github.com/govim/govim,https://sourcegraph.com/github.com/govim/govim
repo,github.com/Decentr-net/decentr,https://sourcegraph.com/github.com/Decentr-net/decentr
repo,github.com/opentofu/opentofu,https://sourcegraph.com/github.com/opentofu/opentofu
repo,github.com/kubeops/csi-driver-cacerts,https://sourcegraph.com/github.com/kubeops/csi-driver-cacerts
repo,github.com/learn-video/mosaic-video,https://sourcegraph.com/github.com/learn-video/mosaic-video
repo,github.com/plgd-dev/go-coap,https://sourcegraph.com/github.com/plgd-dev/go-coap
repo,github.com/VictoriaMetrics/victorialogs-datasource,https://sourcegraph.com/github.com/VictoriaMetrics/victorialogs-datasource
repo,github.com/k-orc/openstack-resource-controller,https://sourcegraph.com/github.com/k-orc/openstack-resource-controller
repo,github.com/openshift/telemeter,https://sourcegraph.com/github.com/openshift/telemeter
repo,github.com/kubenetworks/kubevpn,https://sourcegraph.com/github.com/kubenetworks/kubevpn
repo,github.com/google/btree,https://sourcegraph.com/github.com/google/btree
repo,github.com/unitoftime/ecs,https://sourcegraph.com/github.com/unitoftime/ecs
repo,github.com/bytedance/sonic,https://sourcegraph.com/github.com/bytedance/sonic
repo,github.com/ysmood/goe,https://sourcegraph.com/github.com/ysmood/goe
repo,github.com/Kirov7/CouloyDB,https://sourcegraph.com/github.com/Kirov7/CouloyDB
repo,github.com/awalterschulze/goderive,https://sourcegraph.com/github.com/awalterschulze/goderive
repo,github.com/abhishekkr/tutorials_as_code,https://sourcegraph.com/github.com/abhishekkr/tutorials_as_code
repo,github.com/abemedia/go-don,https://sourcegraph.com/github.com/abemedia/go-don
repo,github.com/xo/ox,https://sourcegraph.com/github.com/xo/ox
repo,github.com/seatgeek/mailroom,https://sourcegraph.com/github.com/seatgeek/mailroom
repo,github.com/miniLCT/gosb,https://sourcegraph.com/github.com/miniLCT/gosb
repo,github.com/KusionStack/controller-mesh,https://sourcegraph.com/github.com/KusionStack/controller-mesh
repo,github.com/eolinker/apinto,https://sourcegraph.com/github.com/eolinker/apinto
repo,github.com/HazelnutParadise/insyra,https://sourcegraph.com/github.com/HazelnutParadise/insyra
repo,github.com/grafana/loki,https://sourcegraph.com/github.com/grafana/loki
repo,github.com/OffchainLabs/bold,https://sourcegraph.com/github.com/OffchainLabs/bold
repo,github.com/rqlite/rqlite,https://sourcegraph.com/github.com/rqlite/rqlite
repo,github.com/kitagry/bqls,https://sourcegraph.com/github.com/kitagry/bqls
repo,github.com/Zyko0/go-sdl3,https://sourcegraph.com/github.com/Zyko0/go-sdl3
repo,github.com/lxzan/dao,https://sourcegraph.com/github.com/lxzan/dao
repo,github.com/umputun/remark42,https://sourcegraph.com/github.com/umputun/remark42
repo,github.com/iimeta/iim-client,https://sourcegraph.com/github.com/iimeta/iim-client
repo,github.com/langgenius/dify-plugin-daemon,https://sourcegraph.com/github.com/langgenius/dify-plugin-daemon
repo,github.com/portworx/helm,https://sourcegraph.com/github.com/portworx/helm
repo,github.com/vbyazilim/maoyyk2023-golang-101-kursu,https://sourcegraph.com/github.com/vbyazilim/maoyyk2023-golang-101-kursu
repo,github.com/bobg/mingo,https://sourcegraph.com/github.com/bobg/mingo
repo,github.com/cockroachdb/cockroach,https://sourcegraph.com/github.com/cockroachdb/cockroach
repo,github.com/ecodeclub/eorm,https://sourcegraph.com/github.com/ecodeclub/eorm
repo,github.com/quicksilver-zone/quicksilver,https://sourcegraph.com/github.com/quicksilver-zone/quicksilver
repo,github.com/seancfoley/ipaddress-go,https://sourcegraph.com/github.com/seancfoley/ipaddress-go
repo,github.com/42wim/matterbridge,https://sourcegraph.com/github.com/42wim/matterbridge
repo,github.com/BitBoxSwiss/bitbox-wallet-app,https://sourcegraph.com/github.com/BitBoxSwiss/bitbox-wallet-app
repo,github.com/searKing/golang,https://sourcegraph.com/github.com/searKing/golang
repo,github.com/yalue/onnxruntime_go,https://sourcegraph.com/github.com/yalue/onnxruntime_go
repo,github.com/TeaEntityLab/fpGo,https://sourcegraph.com/github.com/TeaEntityLab/fpGo
repo,github.com/che-incubator/kubernetes-image-puller,https://sourcegraph.com/github.com/che-incubator/kubernetes-image-puller
repo,github.com/amrulizwan/learn-golang,https://sourcegraph.com/github.com/amrulizwan/learn-golang
repo,github.com/authelia/authelia,https://sourcegraph.com/github.com/authelia/authelia
repo,github.com/pygments/pygments,https://sourcegraph.com/github.com/pygments/pygments
repo,github.com/kubeguard/guard,https://sourcegraph.com/github.com/kubeguard/guard
repo,github.com/nikki93/gx,https://sourcegraph.com/github.com/nikki93/gx
repo,github.com/wwj31/dogactor,https://sourcegraph.com/github.com/wwj31/dogactor
repo,github.com/grafana/k6,https://sourcegraph.com/github.com/grafana/k6
repo,github.com/OpenAPITools/openapi-generator,https://sourcegraph.com/github.com/OpenAPITools/openapi-generator
repo,github.com/kayac/kayac-isucon-2022,https://sourcegraph.com/github.com/kayac/kayac-isucon-2022
repo,github.com/sourcegraph/scip-go,https://sourcegraph.com/github.com/sourcegraph/scip-go
repo,github.com/tiendc/go-validator,https://sourcegraph.com/github.com/tiendc/go-validator
repo,github.com/disksing/iter,https://sourcegraph.com/github.com/disksing/iter
repo,github.com/fluhus/gostuff,https://sourcegraph.com/github.com/fluhus/gostuff
repo,github.com/openfaas/faas-netes,https://sourcegraph.com/github.com/openfaas/faas-netes
repo,github.com/viterin/vek,https://sourcegraph.com/github.com/viterin/vek
repo,github.com/EliCDavis/polyform,https://sourcegraph.com/github.com/EliCDavis/polyform
